x,nn
1.000000000000000000e+02,2.105792617797851562e+01
1.010101010101010104e+02,2.115885353088378906e+01
1.020202020202020208e+02,2.125978088378906250e+01
1.030303030303030312e+02,2.136071014404296875e+01
1.040404040404040416e+02,2.146163749694824219e+01
1.050505050505050519e+02,2.156308937072753906e+01
1.060606060606060623e+02,2.166867065429687500e+01
1.070707070707070727e+02,2.177424621582031250e+01
1.080808080808080831e+02,2.187982368469238281e+01
1.090909090909090935e+02,2.198540306091308594e+01
1.101010101010101039e+02,2.209098052978515625e+01
1.111111111111111143e+02,2.219655990600585938e+01
1.121212121212121247e+02,2.227880668640136719e+01
1.131313131313131350e+02,2.236108398437500000e+01
1.141414141414141454e+02,2.248404884338378906e+01
1.151515151515151558e+02,2.259045982360839844e+01
1.161616161616161662e+02,2.269053268432617188e+01
1.171717171717171766e+02,2.279059982299804688e+01
1.181818181818181870e+02,2.289022827148437500e+01
1.191919191919191974e+02,2.298367309570312500e+01
1.202020202020202078e+02,2.309254646301269531e+01
1.212121212121212182e+02,2.316695404052734375e+01
1.222222222222222285e+02,2.326589393615722656e+01
1.232323232323232389e+02,2.336483764648437500e+01
1.242424242424242493e+02,2.346378326416015625e+01
1.252525252525252597e+02,2.355712509155273438e+01
1.262626262626262701e+02,2.365004730224609375e+01
1.272727272727272805e+02,2.374296379089355469e+01
1.282828282828282909e+02,2.383936309814453125e+01
1.292929292929293013e+02,2.393993949890136719e+01
1.303030303030303116e+02,2.402647781372070312e+01
1.313131313131313220e+02,2.412409400939941406e+01
1.323232323232323324e+02,2.422566986083984375e+01
1.333333333333333428e+02,2.430846786499023438e+01
1.343434343434343532e+02,2.439126014709472656e+01
1.353535353535353636e+02,2.447405624389648438e+01
1.363636363636363740e+02,2.455097579956054688e+01
1.373737373737373844e+02,2.465623855590820312e+01
1.383838383838383947e+02,2.474891662597656250e+01
1.393939393939394051e+02,2.484159660339355469e+01
1.404040404040404155e+02,2.493427658081054688e+01
1.414141414141414259e+02,2.502695655822753906e+01
1.424242424242424363e+02,2.511963844299316406e+01
1.434343434343434467e+02,2.520246887207031250e+01
1.444444444444444571e+02,2.528416061401367188e+01
1.454545454545454675e+02,2.537585639953613281e+01
1.464646464646464779e+02,2.545524024963378906e+01
1.474747474747474882e+02,2.556218147277832031e+01
1.484848484848484986e+02,2.568256568908691406e+01
1.494949494949494806e+02,2.573322105407714844e+01
1.505050505050505194e+02,2.581792068481445312e+01
1.515151515151515014e+02,2.590261840820312500e+01
1.525252525252525402e+02,2.598731613159179688e+01
1.535353535353535221e+02,2.607572937011718750e+01
1.545454545454545610e+02,2.615722465515136719e+01
1.555555555555555429e+02,2.624243164062500000e+01
1.565656565656565817e+02,2.632763099670410156e+01
1.575757575757575637e+02,2.641283798217773438e+01
1.585858585858586025e+02,2.649804115295410156e+01
1.595959595959595845e+02,2.658324813842773438e+01
1.606060606060606233e+02,2.667120361328125000e+01
1.616161616161616053e+02,2.675569725036621094e+01
1.626262626262626441e+02,2.683844184875488281e+01
1.636363636363636260e+02,2.692608833312988281e+01
1.646464646464646648e+02,2.698163986206054688e+01
1.656565656565656468e+02,2.708515167236328125e+01
1.666666666666666856e+02,2.717679405212402344e+01
1.676767676767676676e+02,2.725882720947265625e+01
1.686868686868687064e+02,2.734375381469726562e+01
1.696969696969696884e+02,2.742098999023437500e+01
1.707070707070707272e+02,2.749466514587402344e+01
1.717171717171717091e+02,2.757442665100097656e+01
1.727272727272727479e+02,2.767317962646484375e+01
1.737373737373737299e+02,2.773894882202148438e+01
1.747474747474747687e+02,2.780471229553222656e+01
1.757575757575757507e+02,2.788987731933593750e+01
1.767676767676767895e+02,2.796597862243652344e+01
1.777777777777777715e+02,2.807261276245117188e+01
1.787878787878788103e+02,2.815724563598632812e+01
1.797979797979797922e+02,2.821443748474121094e+01
1.808080808080808310e+02,2.828302192687988281e+01
1.818181818181818130e+02,2.837539291381835938e+01
1.828282828282828518e+02,2.847606468200683594e+01
1.838383838383838338e+02,2.853639221191406250e+01
1.848484848484848726e+02,2.859512519836425781e+01
1.858585858585858546e+02,2.865385627746582031e+01
1.868686868686868934e+02,2.876830101013183594e+01
1.878787878787878753e+02,2.884476470947265625e+01
1.888888888888889142e+02,2.892031669616699219e+01
1.898989898989898961e+02,2.899587249755859375e+01
1.909090909090909349e+02,2.908503913879394531e+01
1.919191919191919169e+02,2.914472770690917969e+01
1.929292929292929557e+02,2.922363471984863281e+01
1.939393939393939377e+02,2.930253219604492188e+01
1.949494949494949765e+02,2.938143920898437500e+01
1.959595959595959584e+02,2.945563316345214844e+01
1.969696969696969688e+02,2.953496360778808594e+01
1.979797979797979792e+02,2.960684585571289062e+01
1.989898989898989896e+02,2.968634986877441406e+01
2.000000000000000000e+02,2.975964546203613281e+01
